,host_response_rate,host_listings_count,accommodates,latitude,longitude,guests_included,bathrooms,bedrooms,cleaning_fee,minimum_nights,maximum_nights,total_amenities_count,host_is_superhost,host_response_time,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,price
0,90,1,4,47.57576948,-122.3163621,2,1.0,2,85.0,3,300,24,False,within an hour,True,Beacon Hill,Guest suite,Entire home/apt,Real Bed,True,moderate,125.3210416666667
1,86,1,4,47.7119506,-122.30235549999999,1,1.0,1,40.0,2,1125,27,True,within a day,False,Lake City,Guest suite,Entire home/apt,Real Bed,True,moderate,96.65739583333335
2,100,1,2,47.69710278,-122.34455590000002,1,1.0,1,150.0,5,120,24,True,within an hour,True,Northgate,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,128.7558333333334
3,100,2,2,47.61236437,-122.3494246,1,1.0,1,75.0,1,30,34,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,146.96989583333325
4,100,1,2,47.68726365,-122.3134439,1,1.0,1,0.0,1,3,22,False,within an hour,False,Other neighborhoods,House,Private room,Real Bed,False,flexible,58.670625000000044
5,100,7,6,47.63953321,-122.34239240000001,6,1.0,2,77.0,1,28,51,False,within an hour,False,Queen Anne,Townhouse,Entire home/apt,Real Bed,False,strict_14_with_grace_period,285.6461458333333
6,100,2,4,47.69913031,-122.31638149999999,1,1.0,1,30.0,2,1125,24,True,within an hour,True,Northgate,House,Entire home/apt,Real Bed,False,flexible,102.3538541666667
7,99,81,6,47.61392099,-122.34855420000001,6,1.0,2,135.0,1,365,25,False,within an hour,False,Downtown,Condominium,Entire home/apt,Real Bed,True,super_strict_30,174.8644791666666
8,100,7,8,47.65883131,-122.3479665,1,2.5,3,99.0,2,1124,30,True,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,False,moderate,257.2569791666668
9,100,2,5,47.70874355,-122.2798159,2,1.5,1,15.0,1,93,19,False,within an hour,True,Lake City,House,Private room,Real Bed,True,moderate,86.4128125
10,100,9,3,47.68820423,-122.3391576,1,1.0,1,30.0,1,5,28,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,True,moderate,79.36635416666667
11,100,123,1,47.64328707,-122.3041449,1,1.0,1,15.0,1,21,9,False,within an hour,False,Capitol Hill,House,Shared room,Real Bed,True,strict_14_with_grace_period,29.68625
12,100,1,2,47.73278626,-122.3523034,2,1.0,1,25.0,2,14,40,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,103.92572916666668
13,100,4,4,47.65442491,-122.3556845,1,1.0,1,70.0,30,1125,31,True,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,True,moderate,130.7223958333333
14,100,3,4,47.610752399999996,-122.312152,1,1.0,2,65.0,3,30,27,True,within an hour,True,Central Area,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,159.08166666666662
15,99,152,5,47.61008774,-122.3288882,1,2.0,2,150.0,2,1125,18,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,296.9667708333334
16,75,8,2,47.61320978,-122.32327759999998,1,1.0,0,75.0,30,365,43,True,within a day,True,Downtown,Apartment,Private room,Real Bed,False,strict_14_with_grace_period,113.6138541666667
17,92,51,4,47.67644027,-122.2892408,1,1.0,1,65.0,1,1125,39,False,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,moderate,110.02270833333333
18,99,152,5,47.61062632,-122.3284558,1,2.0,2,150.0,4,1125,18,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,296.7694791666667
19,100,8,2,47.61810684,-122.32293179999999,1,1.0,1,30.0,1,1125,13,True,within an hour,False,Capitol Hill,House,Private room,Real Bed,True,moderate,95.44218749999999
20,100,2,4,47.55538926,-122.38473859999999,2,1.0,2,95.0,2,365,29,False,within an hour,True,West Seattle,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,145.60947916666674
21,100,2,4,47.51944886,-122.36249939999999,2,1.0,0,48.0,1,15,31,True,within an hour,True,Delridge,House,Entire home/apt,Real Bed,True,moderate,89.8964583333333
22,99,7,5,47.61924589,-122.3120341,1,1.0,1,0.0,1,366,28,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,120.46562500000002
23,100,123,2,47.62743035,-122.34979409999998,1,2.0,1,25.0,1,21,18,False,within an hour,False,Queen Anne,House,Private room,Real Bed,True,strict_14_with_grace_period,84.03458333333342
24,100,50,4,47.67484152,-122.38052809999999,4,1.5,2,204.0,2,1125,21,False,within an hour,False,Ballard,House,Entire home/apt,Real Bed,True,super_strict_30,173.04093749999996
25,100,2,6,47.66150103,-122.34831650000001,4,1.0,2,75.0,1,14,35,False,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,False,moderate,150.00666666666675
26,100,131,2,47.63060212,-122.3420527,1,1.0,1,75.0,2,1125,43,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,flexible,102.01208333333344
27,100,1,6,47.63331419,-122.3934585,6,2.0,2,130.0,2,30,35,True,within an hour,False,Magnolia,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,225.55333333333326
28,100,3,14,47.69684713,-122.3455023,14,3.0,6,350.0,1,1125,49,False,within a few hours,False,Other neighborhoods,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,440.268125
29,100,2,3,47.62857431,-122.29961370000001,1,1.0,1,40.0,2,30,23,False,within a few hours,True,Capitol Hill,House,Entire home/apt,Real Bed,False,moderate,107.91739583333329
30,100,123,2,47.6264238,-122.3506477,1,2.0,1,25.0,1,21,17,False,within an hour,False,Queen Anne,House,Private room,Real Bed,True,strict_14_with_grace_period,81.49093750000006
31,100,1,2,47.61832135,-122.34513759999999,1,1.0,0,80.0,2,1125,33,False,within an hour,False,Downtown,Condominium,Entire home/apt,Pull-out Sofa,False,strict_14_with_grace_period,140.98218749999995
32,100,3,2,47.61400098,-122.3100428,2,1.0,0,40.0,1,1125,30,False,within an hour,False,Central Area,Guest suite,Entire home/apt,Real Bed,True,moderate,95.23635416666664
33,100,3,4,47.605056,-122.3209493,2,1.0,1,100.0,2,1125,30,False,within an hour,True,Downtown,Condominium,Entire home/apt,Real Bed,False,strict_14_with_grace_period,165.1892708333333
34,100,1,4,47.66845667,-122.326474,2,1.0,1,40.0,2,120,33,False,within an hour,True,Other neighborhoods,House,Entire home/apt,Real Bed,True,moderate,111.29031249999998
35,100,2,2,47.55837107,-122.36237990000001,1,1.0,1,40.0,1,14,35,False,within a few hours,True,Delridge,House,Private room,Real Bed,False,flexible,56.22552083333334
36,100,1,2,47.62456651,-122.323295,1,1.0,1,65.0,2,30,15,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,flexible,127.53270833333323
37,100,1,6,47.68340631,-122.3014446,5,1.0,3,25.0,2,1125,29,False,within a day,True,Other neighborhoods,House,Entire home/apt,Real Bed,False,moderate,182.74239583333326
38,100,131,2,47.63027846,-122.3420582,1,1.0,1,75.0,2,1125,43,True,within an hour,False,Cascade,Serviced apartment,Entire home/apt,Real Bed,True,flexible,102.10822916666666
39,100,1,2,47.61729801,-122.355551,1,1.0,0,20.0,3,5,18,False,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,False,moderate,123.73229166666658
40,100,1,6,47.67129597,-122.38754660000001,2,2.0,3,100.0,2,31,21,True,within an hour,True,Ballard,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,224.31927083333343
41,100,4,6,47.67469947,-122.3770656,1,2.5,3,295.0,3,1124,19,True,within an hour,True,Ballard,Townhouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,279.7799999999999
42,100,1,4,47.54723905,-122.2979977,1,1.0,2,50.0,2,1125,26,False,within an hour,False,Beacon Hill,House,Entire home/apt,Real Bed,True,moderate,108.77135416666674
43,100,1,6,47.64109457,-122.32695590000002,6,2.0,3,138.0,2,29,24,False,within an hour,True,Cascade,Townhouse,Entire home/apt,Real Bed,False,strict_14_with_grace_period,246.8466666666667
44,100,57,1,47.65721202,-122.3188689,1,3.5,1,75.0,4,90,23,False,within a few hours,True,University District,House,Shared room,Real Bed,False,strict_14_with_grace_period,41.787812499999944
45,92,2,2,47.69750808,-122.34873940000001,1,1.5,1,25.0,1,1125,52,False,within an hour,True,Other neighborhoods,Townhouse,Private room,Airbed,False,moderate,65.24708333333334
46,100,1,2,47.618546200000004,-122.3045973,1,1.0,1,25.0,2,14,13,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,flexible,103.61250000000005
47,100,3,4,47.65443428,-122.3864562,2,2.5,2,80.0,2,30,24,True,within an hour,False,Magnolia,Townhouse,Entire home/apt,Real Bed,False,moderate,183.36479166666672
48,100,1,2,47.63535335,-122.35894329999999,1,1.0,1,35.0,2,1125,30,False,within an hour,True,Queen Anne,Guest suite,Entire home/apt,Real Bed,True,flexible,106.48374999999999
49,100,123,2,47.64645307,-122.35581200000001,1,2.0,1,20.0,1,21,7,False,within an hour,False,Queen Anne,House,Private room,Real Bed,True,strict_14_with_grace_period,75.17791666666672
50,100,1,6,47.654621399999996,-122.38017430000001,1,1.0,1,25.0,1,8,16,False,within an hour,False,Interbay,Boat,Entire home/apt,Real Bed,True,flexible,121.9954166666666
51,100,123,5,47.60065512,-122.325832,1,1.0,1,40.0,1,21,11,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,109.86697916666658
52,100,12,3,47.61813925,-122.32548229999999,2,1.0,1,50.0,1,30,25,True,within an hour,True,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,moderate,126.30499999999998
53,99,521,3,47.61178697,-122.34939920000001,2,1.0,0,89.0,2,1125,24,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,166.63864583333347
54,100,7,3,47.62738619,-122.34937240000002,1,1.0,1,60.0,1,1125,37,False,within an hour,False,Queen Anne,Apartment,Entire home/apt,Real Bed,False,moderate,126.18802083333327
55,100,1,3,47.61685764,-122.3459496,2,1.0,0,65.0,2,7,35,True,within an hour,True,Downtown,Condominium,Entire home/apt,Real Bed,False,strict_14_with_grace_period,139.98187499999997
56,99,148,4,47.56366395,-122.3157301,1,1.0,1,93.0,2,28,36,False,within an hour,False,Beacon Hill,Cabin,Entire home/apt,Real Bed,True,strict_14_with_grace_period,148.81
57,100,1,8,47.58645309,-122.3139414,1,2.5,3,150.0,2,29,35,False,within an hour,False,Beacon Hill,Townhouse,Entire home/apt,Real Bed,True,flexible,208.19291666666663
58,100,1,4,47.73254383,-122.3321716,3,1.5,3,40.0,2,31,38,True,within an hour,False,Northgate,House,Entire home/apt,Real Bed,True,moderate,155.4456250000001
59,100,3,3,47.62666232,-122.3174827,2,1.0,1,50.0,1,30,42,False,within an hour,False,Capitol Hill,Guesthouse,Entire home/apt,Real Bed,True,flexible,121.71624999999999
60,100,32,13,47.62178286,-122.2976139,6,3.0,3,150.0,1,365,30,True,within an hour,False,Central Area,Townhouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,364.07177083333335
61,100,9,3,47.53206939,-122.3541502,1,1.0,1,25.0,1,30,42,False,within an hour,False,Delridge,House,Private room,Real Bed,True,flexible,55.32010416666666
62,100,4,16,47.67274336,-122.37319450000001,8,2.5,4,160.0,1,1124,27,False,within an hour,True,Ballard,Townhouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,364.2127083333333
63,100,1,2,47.6700849,-122.29570249999999,1,1.0,1,35.0,1,1125,29,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,False,flexible,91.4657291666666
64,100,2,6,47.66715297,-122.3245338,4,1.0,2,65.0,2,20,74,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,157.5701041666666
